Place,Day,Month,Year,Station,Family,Genus,Species,Abundance,Size TL (mm),Size SL (mm),Weight (g),Remark,Remark 2,TS (O/N),,TS (n°),TS (Box)
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,57,49,1.72,,,TS-001,J4 C3,TS-00570,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,58,50,2.05,,,TS-002,J4 C3,TS-00571,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,59,50,1.97,,,TS-003,J4 C3,TS-00572,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,54,45,1.54,,,TS-004,J4 C3,TS-00573,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,62,52,2.59,,,TS-005,J4 C3,TS-00574,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,58,49,2.12,,,TS-006,J4 C3,TS-00575,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,62,53,2.55,,,TS-007,J4 C3,TS-00576,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,57,48,1.8,,,TS-008,J4 C3,TS-00577,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,57,49,1.9,,,TS-009,J4 C3,TS-00578,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,58,50,1.9,,,TS-010,J4 C3,TS-00579,BOX-006
Agde,27,7,2014,AGD_008,Mullidae,Mullus,surmuletus,1,58,49,1.82,,,TS-002,J2 C3,TS-00612,BOX-007
Agde,27,6,2014,AGD_008,Blenniidae,Parablennius,pilicornis,1,22,19,0.09,,,,,,
Agde,27,6,2014,AGD_008,Blenniidae,Parablennius,pilicornis,1,25,22,0.11,,,,,,
Agde,27,6,2014,AGD_008,Blenniidae,Parablennius,pilicornis,1,26,22.5,0.11,,,,,,
Agde,27,7,2014,AGD_008,Mullidae,Mullus,surmuletus,1,52,44,1.39,,,TS-003,J2 C3,TS-00613,BOX-007
Agde,27,7,2014,AGD_010,Mullidae,Mullus,surmuletus,1,55,47,1.69,,,TS-001,J2 C5,TS-00614,BOX-007
Agde,27,7,2014,AGD_010,Mullidae,Mullus,surmuletus,1,57,49,1.91,,,TS-002,J2 C5,TS-00615,BOX-007
Agde,29,7,2014,AGD_008,Mullidae,Mullus,surmuletus,1,55,47,1.66,,,TS,J3 C3,TS-00616,BOX-007
Agde,29,7,2014,AGD_009,Mullidae,Mullus,surmuletus,1,50,41,,,abîme,TS,J3 C4,TS-00617,BOX-007
Agde,30,7,2014,AGD_007,Mullidae,Mullus,surmuletus,1,59,51,2.11,,,TS-001,J4 C2,TS-00618,BOX-007
Agde,30,7,2014,AGD_007,Mullidae,Mullus,surmuletus,1,57,48,1.79,,,TS-002,J4 C2,TS-00619,BOX-007
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,60,51,2.08,,,TS-011,J4 C3,TS-00580,BOX-006
Agde,27,6,2014,AGD_009,Blenniidae,Parablennius,pilicornis,1,25,21,0.13,,,,,,
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,58,49,1.9,,,TS-012,J4 C3,TS-00581,BOX-006
Agde,27,6,2014,AGD_010,Blenniidae,Parablennius,pilicornis,1,18,15,0.04,,,,,,
Agde,27,6,2014,AGD_010,Blenniidae,Parablennius,pilicornis,1,16,13,0.02,,,,,,
Agde,27,6,2014,AGD_010,Blenniidae,Parablennius,pilicornis,1,18,15,0.03,,,,,,
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,59,50,1.94,,,TS-013,J4 C3,TS-00582,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,55,47,1.6,,,TS-014,J4 C3,TS-00583,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,57,48,1.93,,,TS-015,J4 C3,TS-00584,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,60,51,2.06,,,TS-016,J4 C3,TS-00585,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,61,52,2.24,,,TS-017,J4 C3,TS-00586,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,60,51,2.08,,,TS-018,J4 C3,TS-00587,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,55,47,1.6,,,TS-019,J4 C3,TS-00588,BOX-006
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,62,53,2.6,,,TS-020,J4 C3,TS-00589,BOX-006
Agde,26,7,2014,AGD_006,Blenniidae,Parablennius,pilicornis,1,28,25,0.21,,,,,,
Agde,26,7,2014,AGD_007,Blenniidae,Parablennius,pilicornis,1,31,28,0.28,,,,,,
Agde,30,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,50,42,1.14,,,TS-021,J4 C3,TS-00590,BOX-006
Agde,30,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,63,54,2.64,,,TS-001,J4 C4,TS-00591,BOX-006
Agde,26,7,2014,AGD_008,Blenniidae,Parablennius,pilicornis,1,29,26,0.23,,,,,,
Agde,26,7,2014,AGD_008,Blenniidae,Parablennius,pilicornis,1,29,26,0.21,,,,,,
Agde,30,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,55,47,1.7,,,TS-002,J4 C4,TS-00592,BOX-006
Agde,26,7,2014,AGD_009,Blenniidae,Parablennius,pilicornis,1,19,15,0.18,,,,,,
Agde,30,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,58,49,1.86,,,TS-003,J4 C4,TS-00593,BOX-006
Agde,26,7,2014,AGD_010,Blenniidae,Parablennius,pilicornis,1,29,25,0.23,,,,,,
Agde,27,7,2014,AGD_006,Blenniidae,Parablennius,pilicornis,1,28,25,0.16,,,,,,
Agde,30,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,57,47,1.77,,,TS-004,J4 C4,TS-00594,BOX-006
Agde,30,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,58,49,2.07,,,TS-005,J4 C4,TS-00595,BOX-006
Agde,30,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,56,47,1.73,,,TS-006,J4 C4,TS-00596,BOX-006
Agde,30,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,59,50,1.98,,,TS-007,J4 C4,TS-00597,BOX-006
Agde,30,7,2014,AGD_007,Mullidae,Mullus,surmuletus,1,29,50,1.86,,,TS-003,J4 C2,TS-00620,BOX-007
Agde,27,7,2014,AGD_009,Blenniidae,Parablennius,pilicornis,1,29,26,0.18,,,,,,
Agde,27,7,2014,AGD_009,Blenniidae,Parablennius,pilicornis,1,17,15,0.04,,,,,,
Agde,27,7,2014,AGD_009,Blenniidae,Parablennius,pilicornis,1,28,24,0.17,,,,,,
Agde,27,7,2014,AGD_009,Blenniidae,Parablennius,pilicornis,1,28,24,0.15,,,,,,
Agde,27,7,2014,AGD_009,Blenniidae,Parablennius,pilicornis,1,31,26,0.24,,,,,,
Agde,27,7,2014,AGD_009,Blenniidae,Parablennius,pilicornis,1,29,25,0.16,,,,,,
Agde,27,7,2014,AGD_009,Blenniidae,Parablennius,pilicornis,1,18,16,0.04,,,,,,
Agde,30,7,2014,AGD_008,Mullidae,Mullus,surmuletus,1,58,49,1.99,,,TS-001,J4 C3,TS-00621,BOX-007
Agde,30,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,52,44,1.31,,,TS-008,J4 C4,TS-00598,BOX-006
Agde,29,7,2014,AGD_006,Blenniidae,Parablennius,pilicornis,1,19,17,0.05,,,,,,
Agde,29,7,2014,AGD_006,Engraulidae,Engraulis,encrasicolus,1,74,64,29.4,,,,,,
Agde,29,7,2014,AGD_007,Blenniidae,Parablennius,pilicornis,1,33,29,0.32,,,,,,
Agde,29,7,2014,AGD_007,Blenniidae,Parablennius,pilicornis,1,30,26,0.22,,,,,,
Agde,29,7,2014,AGD_008,Blenniidae,Parablennius,pilicornis,1,28,25,0.21,,,,,,
Agde,29,7,2014,AGD_008,Blenniidae,Parablennius,pilicornis,1,31,27,0.25,,,,,,
Agde,30,6,2014,AGD_010,Mullidae,Mullus,surmuletus,1,55,47,1.77,,,TS-001,J4 C5,TS-00599,BOX-006
Agde,29,7,2014,AGD_009,Blenniidae,Parablennius,pilicornis,1,29,25,0.24,,,,,,
Agde,29,7,2014,AGD_009,Blenniidae,Parablennius,pilicornis,1,29,25,0.23,,,,,,
Agde,29,7,2014,AGD_009,Blenniidae,Parablennius,pilicornis,1,19,16,0.05,,,,,,
Agde,30,6,2014,AGD_010,Mullidae,Mullus,surmuletus,1,53,45,1.3,,,TS-002,J4 C5,TS-00600,BOX-006
Agde,29,7,2014,AGD_010,Blenniidae,Parablennius,pilicornis,1,31,27,0.26,,,,,,
Agde,29,7,2014,AGD_010,Blenniidae,Parablennius,pilicornis,1,25,22,0.13,,,,,,
Agde,29,7,2014,AGD_010,Blenniidae,Parablennius,pilicornis,1,29,25,0.19,,,,,,
Agde,29,7,2014,AGD_010,Blenniidae,Parablennius,pilicornis,1,26,23,0.12,,,,,,
Agde,29,7,2014,AGD_010,Blenniidae,Parablennius,pilicornis,1,18,16,0.05,,,,,,
Agde,29,7,2014,AGD_010,Blenniidae,Parablennius,pilicornis,1,28,25,0.21,,,,,,
Agde,29,7,2014,AGD_010,Scorpaenidae,Scorpaena,porcus,1,15,10,0.07,,,,,,
Agde,30,7,2014,AGD_006,Syngnathidae,Hippocampus,hippocampus,1,25,,0.16,,,,,,
Agde,30,7,2014,AGD_006,Blenniidae,Parablennius,pilicornis,1,28,24,0.13,,,,,,
Agde,30,7,2014,AGD_006,Blenniidae,Parablennius,pilicornis,1,32,27,0.2,,,,,,
Agde,30,7,2014,AGD_006,Blenniidae,Parablennius,pilicornis,1,17,15,0.03,,,,,,
Agde,30,6,2014,AGD_010,Mullidae,Mullus,surmuletus,1,57,49,1.98,,,TS-003,J4 C5,TS-00601,BOX-007
Agde,30,6,2014,AGD_010,Mullidae,Mullus,surmuletus,1,59,50,2,,,TS-004,J4 C5,TS-00602,BOX-007
Agde,30,6,2014,AGD_010,Mullidae,Mullus,surmuletus,1,53,44,1.35,,,TS-005,J4 C5,TS-00603,BOX-007
Agde,30,6,2014,AGD_010,Mullidae,Mullus,surmuletus,1,61,52,2.42,,,TS-006,J4 C5,TS-00604,BOX-007
Agde,30,7,2014,AGD_008,Mullidae,Mullus,surmuletus,1,55,47,1.63,,,TS-002,J4 C3,TS-00622,BOX-007
Agde,30,7,2014,AGD_008,Mullidae,Mullus,surmuletus,1,58,50,1.82,,,TS-003,J4 C3,TS-00623,BOX-007
Agde,30,7,2014,AGD_008,Syngnathidae,Hippocampus,hippocampus,1,22,,0.18,,,,,,
Agde,30,7,2014,AGD_009,Bothidae,Arnoglossus,laterna,1,15,12.5,0.03,,photo,,,,
Agde,30,7,2014,AGD_009,Bothidae,Arnoglossus,laterna,1,15,12,0.05,,photo,,,,
Agde,30,7,2014,AGD_010,Mullidae,Mullus,surmuletus,1,56,49,1.82,,,TS,J4 C5,TS-00624,BOX-007
Port Cros,25,7,2014,PCR_044,Clupeidae,Sardina,pilchardus,1,,,,,abîme,,,,
Port Cros,25,7,2014,PCR_043,NI,gen.,sp.,1,11,9,0.01,,photo-Nisp,,,,
Port Cros,25,7,2014,PCR_043,NI,gen.,sp.,1,9.5,8,0.01,,photo,,,,
Port Cros,25,7,2014,PCR_043,NI,gen.,sp.,1,,,,,très abîme,,,,
Port Cros,25,7,2014,PCR_020,Labridae,Thalassoma,pavo,1,28,25,0.04,,photo,,,,
Port Cros,25,7,2014,PCR_020,Mullidae,Mullus,surmuletus,1,49.5,42,1.34,,,TS-001,J1 C4,TS-00686,BOX-007
Port Cros,25,7,2014,PCR_020,Mullidae,Mullus,surmuletus,1,53,45,1.55,,,TS-002,J1 C4,TS-00687,BOX-007
Port Cros,25,7,2014,PCR_020,Mullidae,Mullus,surmuletus,1,54,46,1.64,,,TS-003,J1 C4,TS-00688,BOX-007
Port Cros,25,7,2014,PCR_020,Mullidae,Mullus,surmuletus,1,54,45,1.46,,,TS-004,J1 C4,TS-00689,BOX-007
Port Cros,25,7,2014,PCR_020,Mullidae,Mullus,surmuletus,1,58,49,2.13,,,TS-005,J1 C4,TS-00690,BOX-007
Port Cros,25,7,2014,PCR_020,Mullidae,Mullus,surmuletus,1,49,41,1.06,,,TS-006,J1 C4,TS-00691,BOX-007
Port Cros,25,7,2014,PCR_020,Mullidae,Mullus,surmuletus,1,53,44,1.57,,,TS-007,J1 C4,TS-00692,BOX-007
Port Cros,25,7,2014,PCR_020,NI,gen.,sp.,1,9,7,0.01,,photo,,,,
Port Cros,26,7,2014,PCR_043,Pomacentridae,Chromis,chromis,1,,,,,abîme,,,,
Port Cros,26,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,16,12,0.07,,,,,,
Port Cros,26,7,2014,PCR_009,Mullidae,Mullus,surmuletus,1,53,44.5,1.58,,,TS-001,J2 C5,TS-00693,BOX-007
Port Cros,26,7,2014,PCR_009,Mullidae,Mullus,surmuletus,1,61,51,2.48,,,TS-002,J2 C5,TS-00694,BOX-007
Port Cros,26,7,2014,PCR_009,Blenniidae,Parablennius,gattorugine,1,31,27.5,0.1,,,,,,
Port Cros,26,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,12.5,10.5,0.03,,,,,,
Port Cros,26,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,12,9.5,,,abîme,,,,
Port Cros,26,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,11,8.5,,,abîme,,,,
Port Cros,26,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,,,,,abîme,,,,
Port Cros,27,7,2014,PCR_044,NI,gen.,sp.,1,100,90,8.13,,,,,,
Port Cros,27,7,2014,PCR_043,Bothidae,Bothus,podas,1,17,15,,,très abîme,,,,
Port Cros,27,7,2014,PCR_042,Pomacentridae,Chromis,chromis,1,14,11,0.03,,,,,,
Port Cros,27,7,2014,PCR_042,Pomacentridae,Chromis,chromis,1,13,10,0.02,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,14,11.5,0.04,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,13,10.5,0.03,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,13,10,0.03,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,13.5,10.5,0.04,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,12,9.5,0.02,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,11,9,0.02,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,15,12,0.06,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,13,11,0.03,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,12,10,,,abîme,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,19,14.5,0.1,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,18,13,0.09,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,13,10,0.04,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,13,11,0.04,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,10,9,0.02,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,11,10,0.02,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,12,10,0.03,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,10,8,0.02,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,9,8,0.02,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,13,10,0.03,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,11,9,,,abîme,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,13,10,0.02,,,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,1,13,11,,,abîme,,,,
Port Cros,27,7,2014,PCR_020,Pomacentridae,Chromis,chromis,7,,,,,abîme,,,,
Port Cros,27,7,2014,PCR_009,Engraulidae,Engraulis,encrasicolus,1,59,51,,,abîme,,,,
Port Cros,27,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,14,11,0.02,,,,,,
Port Cros,27,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,14,11,0.02,,,,,,
Port Cros,27,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,12,10,0.02,,,,,,
Port Cros,27,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,14,11,0.02,,,,,,
Port Cros,27,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,14,12,0.05,,,,,,
Port Cros,27,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,12,9.5,0.02,,,,,,
Port Cros,27,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,14,11,0.03,,,,,,
Port Cros,27,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,12,10,0.02,,,,,,
Port Cros,27,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,11,9,0.01,,,,,,
Port Cros,27,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,18,14.5,0.06,,,,,,
Port Cros,27,7,2014,PCR_009,Pomacentridae,Chromis,chromis,1,10,8,,,abîme,,,,
Port Cros,27,7,2014,PCR_009,Pomacentridae,Chromis,chromis,3,,,,,abîme,,,,
Port Cros,27,7,2014,PCR_009,Engraulidae,Engraulis,encrasicolus,1,,,,,abîme,,,,
Port Cros,28,7,2014,PCR_043,Atherinidae,Atherina,boyeri,1,93,79,7.43,,juvenil,,,,
Port Cros,28,7,2014,PCR_043,Atherinidae,Atherina,boyeri,1,82,69,4.73,,juvenil,,,,
Port Cros,28,7,2014,PCR_042,Mullidae,Mullus,surmuletus,1,54,46,1.56,,,TS-001,J4 C3,TS-00695,BOX-007
Port Cros,28,7,2014,PCR_042,Mullidae,Mullus,surmuletus,1,56,47,1.71,,,TS-002,J4 C3,TS-00696,BOX-007
Port Cros,28,7,2014,PCR_042,Mullidae,Mullus,surmuletus,1,51,43,1.36,,,TS-003,J4 C3,TS-00697,BOX-007
Port Cros,28,7,2014,PCR_042,Mullidae,Mullus,surmuletus,1,59,50,2.04,,,TS-004,J4 C3,TS-00698,BOX-007
Port Cros,28,7,2014,PCR_042,Mullidae,Mullus,surmuletus,1,55,46,1.68,,,TS-005,J4 C3,TS-00699,BOX-007
