collection_date,site,collection_time,vessel,gear,n_gear,family,species,dev_stage,n,fishId,size,comments,lat,lon,
2012-12-19,B*,,Vellele,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,,43.693856,7.311269,
2013-01-09,B*,,Vellele,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,Potential pb with the programmator (turns off alone),43.693817,7.3108,
2013-01-16,B*,,Vellele,CARE,1,NA,NA,,0,,,,43.693817,7.3108,
2013-01-25,B*,,Sagitta,CARE,1,Sparidae,Sarpa salpa,post-flexion,1,,,"Turned on around 19h30, turned off before morning (no more battery)",43.693817,7.3108,
2013-01-30,B*,,Vellele,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,2,,,It's seems to work well now,43.693817,7.3108,
2013-02-05,B*,,Vellele,CARE,1,NA,NA,,0,,,It worked but no fish larvae,43.693817,7.3108,
2013-02-13,B*,,Vellele,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,,43.693817,7.3108,
2013-02-20,B*,,Vellele,CARE,1,NA,NA,,0,,,"Many gelatinous plankton. Laurent took 5 salps and 2 ""Ceintures de Venus"" (ctenophors)",43.693817,7.3108,
2013-02-28,B*,,Vellele,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,,43.693817,7.3108,
2013-03-08,B*,,Sagitta,CARE,1,NA,NA,,0,,,Many amphipods (diversity and abundance) and large polychaets,43.693817,7.3108,
2013-03-13,B*,,Vellele,CARE,1,NA,NA,,0,,,"Many zoe, a large crab (4cm) and polychaet (15cm)",43.693817,7.3108,
2013-03-13,Rade,,Vellele,Regent,1,Gadidae,Micromesistius poutassou,post-flexion,1,,,,,7.3108,
2013-03-13,Rade,,Vellele,Regent,1,Gadidae,NA,preflexion,1,,,,,,
2013-03-21,B*,,Vellele,CARE,1,Gadidae,Micromesistius poutassou,juvenile,1,,,One fish larvae with 3 dorsal fin,43.693817,7.3108,
2013-04-03,B*,,Vellele,CARE,1,NA,NA,,0,,,,,7.3108,
2013-04-10,B*,,Vellele,CARE,1,NA,NA,,0,,,"Empty, did not keep non-fish",43.693817,7.3108,
2013-04-17,B*,,Vellele,CARE,1,NA,NA,,0,,,"Many amphipods, shrimps (mysidacées ?), an adult fish (Atherina sp), no fish larvae",43.693817,7.3108,
2013-04-26,B*,,Vellele,CARE,1,NA,NA,,0,,,Other plankton but no fish larvae. Less biomass than previous sample (light problem ?).,43.693817,7.3108,
2013-05-03,B*,,Sagitta,CARE,1,Sparidae,Boops boops,post-flexion,1,,,,,7.3108,
2013-05-07,B*,,Vellele,CARE,1,Sparidae,Spicara smaris,post-flexion,2,,,Other plankton but no fish larvae,43.693817,7.3108,
2013-05-14,B*,,Vellele,CARE,1,NA,NA,,0,,,"Other plankton (salpes, shrimps, Ctenophore) but no fish larvae.",43.693817,7.3108,
2013-05-22,B*,,Vellele,CARE,1,NA,NA,,0,,,NaN,43.693817,7.3108,
2013-05-29,B*,,Vellele,CARE,1,NA,NA,,0,,,Other plankton (jellyfish) but no fish larvae,43.693817,7.3108,
2013-06-12,B*,,Vellele,CARE,1,Sparidae,Spicara smaris,post-flexion,2,,,,,,
2013-06-12,B*,,Vellele,CARE,1,Sparidae,Diplodus sargus,post-flexion,1,,,,,,
2013-06-13,Rade,,Vellele,Regent,1,Gobiesocidae,Lepadogaster lepadogaster,preflexion,11,,,,,,
2013-06-13,Rade,,Vellele,Regent,1,Gobiesocidae,Lepadogaster lepadogaster,flexion,4,,,,,,
2013-06-13,Rade,,Vellele,Regent,1,Labridae,NA,preflexion,1,,,,,,
2013-06-19,Dock,,Sagitta,CARE,0,NA,NA,,0,,,2 CARES for the first time but this one didn't work (=> n_gear=0),,,
2013-06-19,B*,,Sagitta,CARE,1,Ammodytidae,Gymnammodytes spp,post-flexion,2,,,2 CARES for the first time,,,
2013-06-19,B*,,Sagitta,CARE,1,Gadidae,NA,preflexion,2,,,"not sure, very small and badly preserved",,,
2013-06-21,Rade,,Sagitta,Regent,1,Engraulidae,Engraulis encrasicolus,preflexion,2,,,,,,
2013-06-21,Rade,,Sagitta,Regent,1,Callionymidae,Callionymus spp,post-flexion,1,,,,,,
2013-06-21,Rade,,Sagitta,Regent,1,Serranidae,Serranus hepatus,post-flexion,1,,,,,,
2013-06-21,Rade,,Sagitta,Regent,1,Serranidae,Serranus hepatus,flexion,1,,,,,,
2013-06-21,Rade,,Sagitta,Regent,1,Sepiolidae,Sepiola spp,,1,,,,,,
2013-06-21,Rade,,Sagitta,Regent,1,Bothidae,Arnoglossus spp,post-flexion,1,,,,,,
2013-06-21,Rade,,Sagitta,Regent,1,Bothidae,Arnoglossus spp,preflexion,1,,,,,,
2013-06-21,Rade,,Sagitta,Regent,1,Syngnathidae,Nerophis ophidion,flexion,1,,,,,,
2013-06-21,Rade,,Sagitta,Regent,1,Blenniidae,Parablennius spp,preflexion,1,,,,,,
2013-06-21,Rade,,Sagitta,Regent,1,Sparidae,Pagrus pagrus,flexion,3,,,,,,
2013-06-21,Rade,,Sagitta,Regent,1,Sparidae,NA,post-flexion,1,,,Destroyed,,,
2013-06-21,Rade,,Sagitta,Regent,1,Unidentified,Unidentified,flexion,11,,,not sure but different from labrids of 13-06,,,
2013-06-26,A*,,Sagitta,CARE,1,Sparidae,Diplodus annularis,post-flexion,1,,,3 PL of sparids caught in the Regent the 26th in the morning,,,
2013-06-26,B*,,Sagitta,CARE,1,NA,NA,,0,,,1 S. porcus and 1 B. boops ADULTS found in the 2nd CARE. May have eaten everything,,,
2013-06-26,Rade,,Sagitta,Regent,1,Carangidae,Trachurus spp,post-flexion,3,,,,,,
2013-07-03,A*,,Vellele,CARE,1,Sparidae,Diplodus annularis,post-flexion,2,,,,,,
2013-07-03,A*,,Vellele,CARE,1,Sparidae,Oblada melanura,post-flexion,2,,,,,,
2013-07-03,A*,,Vellele,CARE,1,Sparidae,Spicara smaris,post-flexion,1,,,1 half eaten,,,
2013-07-03,A*,,Vellele,CARE,1,Blenniidae,Parablennius spp,post-flexion,2,,,About 35 mm both. Very small occular tentacles,,,
2013-07-03,B*,,Vellele,CARE,1,Blenniidae,Parablennius spp,post-flexion,2,,,about 20 mm both. Dark head. No occular tentacles,,,
2013-07-09,Rade,,Sagitta,Regent,1,Carangidae,Trachurus spp,post-flexion,1,,,~15mm,,,
2013-07-09,Rade,,Sagitta,Regent,1,Triglidae,Chelidonichthys lucerna,post-flexion,1,,,Kept in aquarium,,,
2013-07-09,Rade,,Sagitta,Regent,1,Callionymidae,Callionymus lyra,post-flexion,1,,,"very small, ~5mm",,,
2013-07-10,A*,,Sagitta,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,sp small and dark,,,
2013-07-10,A*,,Sagitta,CARE,1,Blenniidae,Parablennius spp,post-flexion,3,,,sp bigger and lighter,,,
2013-07-10,A*,,Sagitta,CARE,1,Sparidae,Oblada melanura,post-flexion,8,,,Check if all the same sp (small dots and larger dots),,,
2013-07-10,A*,,Sagitta,CARE,1,Sparidae,Diplodus annularis,post-flexion,12,,,Sparids (Diplodus sp) with an unique darker band all along their body,,,
2013-07-10,B*,,Sagitta,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,sp small and dark,,,
2013-07-10,B*,,Sagitta,CARE,1,Sparidae,Oblada melanura,post-flexion,6,,,,,,
2013-07-11,A*,,Sagitta,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,sp small and dark,,,
2013-07-11,A*,,Sagitta,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,sp bigger and lighter,,,
2013-07-11,A*,,Sagitta,CARE,1,Sparidae,Diplodus annularis,post-flexion,10,,,(one with just the head left),,,
2013-07-11,A*,,Sagitta,CARE,1,Sparidae,Oblada melanura,post-flexion,7,,,,,,
2013-07-11,A*,,Sagitta,CARE,1,Sparidae,NA,post-flexion,1,,,"Tranparent without precaudal dot. Sample lost for now, can’t ID this one",,,
2013-07-11,A*,,Sagitta,CARE,1,Pomacentridae,Chromis chromis,post-flexion,1,,,,,,
2013-07-11,B*,,Sagitta,CARE,1,Sparidae,Oblada melanura,post-flexion,5,,,,,,
2013-07-11,B*,,Sagitta,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,sp small and dark,,,
2013-07-17,B*,,Sagitta,CARE,1,Sparidae,Oblada melanura,post-flexion,3,,,1 juvenile engraulidae,,,
2013-07-17,B*,,Sagitta,CARE,1,Sparidae,Diplodus annularis,post-flexion,1,,,,,,
2013-07-17,B*,,Sagitta,CARE,1,Pomacentridae,Chromis chromis,post-flexion,4,,,,,,
2013-07-17,B*,,Sagitta,CARE,1,Atherinidae,Atherina hepsetus,flexion,3,,,Very elongated and transparent body with short gut,,,
2013-07-17,B*,,Sagitta,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,sp small and dark,,,
2013-07-17,B*,,Sagitta,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,,,,
2013-07-17,A*,,Sagitta,CARE,1,Sparidae,Diplodus annularis,post-flexion,6,,,"One juvenile of Boops boops, just the head",,,
2013-07-17,A*,,Sagitta,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,,,,
2013-07-24,B*,,Vellele,CARE,1,Blenniidae,Parablennius spp,post-flexion,2,,,2 adultes of Boops boops,,,
2013-07-24,A*,,Vellele,CARE,1,NA,NA,,0,,,,,,
2013-07-31,B*,,Sagitta,CARE,1,Sparidae,Diplodus annularis,post-flexion,6,,,,,,
2013-07-31,B*,,Sagitta,CARE,1,Pomacentridae,Chromis chromis,post-flexion,6,,,Good for behavioural experiments!,,,
2013-07-31,A*,,Sagitta,CARE,1,NA,NA,,0,,,,,,
2013-08-07,B*,,Sagitta,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,Kept in aquarium,,,
2013-08-07,B*,,Sagitta,CARE,1,Engraulidae,Engraulis encrasicolus,preflexion and flexion,15,,,Approx,,,
2013-08-07,A*,,Sagitta,CARE,1,Sparidae,Pagellus acarne,post-flexion,1,,,,,,
2013-08-07,A*,,Sagitta,CARE,1,Scorpaenidae,Scorpaena porcus,post-flexion,1,,,Kept in aquarium,,,
2013-08-07,A*,,Sagitta,CARE,1,Mugilidae,Liza sp1,post-flexion,1,,,Kept in aquarium,,,
2013-08-07,A*,,Sagitta,CARE,1,Blenniidae,Parablennius spp,post-flexion,3,,,,,,
2013-08-07,A*,,Sagitta,CARE,1,Clupeidae,Sardina pilchardus,juvenile,1,,,much larger ~juvenile,,,
2013-08-07,A*,,Sagitta,CARE,1,Engraulidae,Engraulis encrasicolus,preflexion and flexion,30,,,preflexion and flexion,,,
2013-08-15,A*,,Pelagia,CARE,1,Mugilidae,Liza sp1,post-flexion,1,,,One adults of Boops boops in the light trap,,,
2013-08-15,A*,,Pelagia,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,sp small and dark. One adults of Boops boops in the light trap,,,
2013-08-15,A*,,Pelagia,CARE,1,Atherinidae,Atherina boyeri,flexion,4,,,One adults of Boops boops in the light trap,,,
2013-08-15,A*,,Pelagia,CARE,1,Engraulidae,Engraulis encrasicolus,post-flexion,18,,,One adults of Boops boops in the light trap,,,
2013-08-15,A*,,Pelagia,CARE,1,Unidentified,Unidentified,post-flexion,2,,,One adults of Boops boops in the light trap,,,
2013-08-15,B*,,Pelagia,CARE,1,Atherinidae,Atherina boyeri,post-flexion,5,,,,,,
2013-08-15,B*,,Pelagia,CARE,1,Sparidae,Pagellus mormyrus,post-flexion,1,,,,,,
2013-08-15,B*,,Pelagia,CARE,1,Engraulidae,Engraulis encrasicolus,post-flexion,20,,,,,,
2013-08-21,B*,,Pelagia,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,sp small and dark. Very few things and no PL in the other light trap,,,
2013-08-21,A*,,Pelagia,CARE,1,NA,NA,,0,,,,,,
2013-08-28,B*,,Pelagia,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,sp small and dark. Kept in aquarium.,,,
2013-08-28,B*,,Pelagia,CARE,1,Mugilidae,Liza sp1,post-flexion,1,,,"Kept in aquarium. Same species as the previous one, they became friends",,,
2013-08-28,A*,,Pelagia,CARE,1,Atherinidae,Atherina boyeri,post-flexion,2,,,Kept in aquarium. Died within a few days,,,
2013-09-05,A*,,Pelagia,CARE,1,Mugilidae,Liza sp1,post-flexion,5,,,,,,
2013-09-05,B*,,Pelagia,CARE,1,Sparidae,Pagellus mormyrus,post-flexion,1,,,not exactly sure but Pagellus spp yes,,,
2013-09-05,B*,,Pelagia,CARE,1,Engraulidae,Engraulis encrasicolus,post-flexion,2,,,,,,
2013-09-05,B*,,Pelagia,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,Just head. A predator may have came in during the night,,,
2013-09-05,B*,,Pelagia,CARE,1,Sparidae,NA,post-flexion,1,,,just the head,,,
2013-09-11,A*,,Pelagia,CARE,1,Engraulidae,Engraulis encrasicolus,post-flexion,1,,,"Lots of shrimps (~500). in this CARE. Some kept in the sample, the rest for feeding. Nothing in the other",,,
2013-09-11,B*,,Pelagia,CARE,1,NA,NA,,0,,,,,,
2013-09-11,Rade,,Sagitta,Regent,1,Serranidae,Serranus hepatus,post-flexion,1,,,,,,
2013-09-20,A,,Pelagia,CARE,1,Unidentifiable,Unidentifiable,post-flexion,1,,,3 CAREs for the first time but very few things in each. Just the head. ,,,
2013-09-20,B*,,Pelagia,CARE,1,NA,NA,,0,,,,,,
2013-09-20,B,,Pelagia,CARE,1,NA,NA,,0,,,,,,
2013-09-26,A,,Pelagia,CARE,1,Sepiolidae,Sepiola spp,,1,,,>> 1000 shrimp larvae in the 3 CARE. kept in aquarium (died),,,
2013-09-26,A,,Pelagia,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,sp small and dark.>> 1000 shrimp larvae in the 3 CARE,,,
2013-09-26,B*,,Pelagia,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,sp small and dark. >> 1000 shrimp larvae in the 3 CARE,,,
2013-09-26,B,,Pelagia,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,sp small and dark. >> 1000 shrimp larvae in the 3 CARE,,,
2013-10-01,B,,Sagitta,CARE,1,Sparidae,Diplodus puntazzo,post-flexion,1,,,Lot of shrimp larvae again but also crab larvae. kept in aquarium,,,
2013-10-01,B*,,Sagitta,CARE,1,Blenniidae,Parablennius rouxi,post-flexion,1,,,Yellowish with dots on the pectoral fins. kept in aquarium,,,
2013-10-01,B*,,Sagitta,CARE,1,Mugilidae,Liza sp1,post-flexion,1,,,Escaped because towed the care over a few meters (horizontally),,,
2013-10-01,A,,Sagitta,CARE,1,NA,NA,,0,,,,,,
2013-10-09,B*,,Pelagia,CARE,1,Sparidae,Diplodus puntazzo,post-flexion,4,,,Kept in aquarium,,,
2013-10-09,A,,Pelagia,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,"Kept in aquarium. Different species from ""DARK""",,,
2013-10-09,B,,Pelagia,CARE,1,Sparidae,Diplodus puntazzo,post-flexion,1,,,Kept in aquarium,,,
2013-10-09,B,,Pelagia,CARE,1,Apogonidae,Apogon imberbis,post-flexion,1,,,First apogonid ! Kept in aquarium. Diseapered...,,,
2013-10-10,B,,Pelagia,CARE,1,Sparidae,Diplodus puntazzo,post-flexion,1,,,The CARE from the harbour didn't work (wrong program),,,
2013-10-10,A,,Pelagia,CARE,1,NA,NA,,0,,,,,,
2013-10-10,B*,,Pelagia,CARE,1,NA,NA,,0,,,,,,
2013-10-18,ABC,,Sagitta,CARE,3,Blenniidae,Parablennius spp,post-flexion,1,,,JO,,,
2013-10-23,ABC,,Sagitta,CARE,3,Sparidae,Diplodus puntazzo,post-flexion,1,,,JO,,,
2013-10-30,A,,Sagitta,CARE,1,NA,NA,,0,,,2 CAREs. One tap broke so we didn't put it.,,,
2013-10-30,B,,Sagitta,CARE,1,NA,NA,,0,,,,,,
2013-11-07,A,,Pelagia,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,And a pelagia that ate quite a lot,,,
2013-11-07,B*,,Pelagia,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,Almost a juvenile. Kept in aquarium,,,
2013-11-07,B*,,Pelagia,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,2,,,Kept in aquarium,,,
2013-11-07,B,,Pelagia,CARE,1,Sparidae,Sarpa salpa,post-flexion,1,,,And a pelagia but with empty tentacles,,,
2013-11-28,A,,Vellele,CARE,1,NA,NA,,0,,,Programmator broken.,,,
2013-11-28,B*,,Vellele,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,2,,,,,,
2013-11-28,B*,,Vellele,CARE,1,Sparidae,Sarpa salpa,post-flexion,2,,,Kept in aquarium,,,
2013-11-28,B*,,Vellele,CARE,1,Unidentifiable,Unidentifiable,post-flexion,2,,,,,,
2013-11-28,B,,Vellele,CARE,1,Sparidae,Sarpa salpa,post-flexion,3,,,"Kept in aquarium (1, the smallest)",,,
2013-11-28,B,,Vellele,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,,,,
2013-12-11,A,,Vellele,CARE,1,Myctophidae,NA,juvenile,1,,,This is WEIRD,,,
2013-12-11,B,,Vellele,CARE,1,NA,NA,,0,,,,,,
2013-12-11,B*,,Vellele,CARE,1,NA,NA,,0,,,,,,
2013-12-18,A,,Pelagia,CARE,1,NA,NA,,0,,,,,,
2013-12-18,B*,,Pelagia,CARE,1,NA,NA,,0,,,,,,
2013-12-18,B,,Pelagia,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,6,,,Seems to smt else than P. acarne,,,
2013-12-18,Dock,,Dock,Handnet,1,Sparidae,Sarpa salpa,post-flexion,5,,,"4 kept in aqua, 1 in formolin with the P. acarne",,,
2014-01-08,A,,Pelagia,CARE,1,NA,NA,,0,,,Battery down in the morning for the 3 CAREs. May have drained during holidays,,,
2014-01-08,B*,,Pelagia,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,Battery down in the morning for the 3 CAREs. May have drained during holidays,,,
2014-01-08,B*,,Pelagia,CARE,1,Centrolophidae,Schedophilus ovalis,post-flexion,2,,,Battery down in the morning for the 3 CAREs. May have drained during holidays,,,
2014-01-08,B,,Pelagia,CARE,1,NA,NA,,0,,,Battery down in the morning for the 3 CAREs. May have drained during holidays,,,
2014-01-15,A,,Vellele,CARE,1,NA,NA,,0,,,Program changed when moving the CARE : need to be changed,,,
2014-01-15,B*,,Vellele,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,,,,
2014-01-15,B*,,Vellele,CARE,1,Sparidae,NA,post-flexion,1,,,Only rests of the body,,,
2014-01-15,B,,Vellele,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,,,,
2014-01-22,B*,,Vellele,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,2 large shrimps,,,
2014-01-22,B,,Vellele,CARE,1,NA,NA,,0,,,5 large shrimps,,,
2014-02-05,B,,Sagitta,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,2,,,Tons of salps,,,
2014-02-05,B,,Sagitta,CARE,1,Sparidae,Sarpa salpa,post-flexion,1,,,Tons of salps,,,
2014-02-05,B*,,Sagitta,CARE,1,Sepiolidae,Sepiola spp,,1,,,Tons of salps. Released after catch,,,
2014-02-05,B*,,Sagitta,CARE,1,Clupeidae,Sardina pilchardus,post-flexion,1,,,,,,
2014-02-05,A,,Sagitta,CARE,1,NA,NA,,0,,,Programmator switched to random with the tap. Turned on for a few hours only,,,
2014-02-12,AB,,Sagitta,CARE,2,Clupeidae,Sardina pilchardus,post-flexion,1,,,,,,
2014-02-12,AB,,Sagitta,CARE,2,Sepiolidae,Sepiola spp,,1,,,,,,
2014-02-28,AB,,Sagitta,CARE,2,Clupeidae,Sardina pilchardus,post-flexion,5,,,,,,
2014-03-06,AB,,Sagitta,CARE,2,Sparidae,Pagellus bogaraveo,juvenile,1,,,,,,
2014-03-06,AB,,Sagitta,CARE,2,Clupeidae,Sardina pilchardus,post-flexion,9,,,,,,
2014-03-11,Dock,,Dock,Handnet,1,Atherinidae,Atherina hepsetus,preflexion,8,,,,,,
2014-03-12,B,,Vellele,CARE,1,Clupeidae,Sardina pilchardus,post-flexion,1,,,Quite a lot a gelatinous plankton. Both traps worked fine.,,,
2014-03-12,A,,Vellele,CARE,1,NA,NA,,0,,,Quite a lot a gelatinous plankton. Both traps worked fine.,,,
2014-03-12,Rade,,Vellele,Regent,1,Blenniidae,Parablennius spp,,1,,,,,,
2014-03-12,Rade,,Vellele,Regent,1,Labridae,NA,flexion,2,,,Quite a lot a gelatinous plankton. Both traps worked fine.,,,
2014-03-19,B*,,Vellele,CARE,1,NA,NA,,0,,,,,,
2014-03-19,B,,Vellele,CARE,1,Sparidae,Boops boops,post-flexion,1,,,,,,
2014-03-19,Rade,,Vellele,Regent,1,Argentinidae,NA,preflexion,1,,,not sure,,,
2014-03-19,Rade,,Vellele,Regent,1,Blenniidae,Parablennius spp,preflexion,1,,,Top of the gut is dark -> blennids,,,
2014-03-19,Rade,,Vellele,Regent,1,Labridae,NA,preflexion,1,,,Swimming bladder visible,,,
2014-03-19,Rade,,Vellele,Regent,1,Sparidae,Boops boops,flexion,1,,,,,,
2014-03-26,B*,,Sagitta,CARE,1,NA,NA,,0,,,,,,
2014-03-26,B,,Sagitta,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,Juvenile. Dead and got eaten by something else,,,
2014-03-26,B,,Sagitta,CARE,1,Gadidae,Gaidropsarus mediterraneus,post-flexion,1,,,Large post-larvae. Kept in aquarium,,,
2014-04-02,A,,Sagitta,CARE,1,NA,NA,,0,,,,,,
2014-04-02,B*,,Sagitta,CARE,1,NA,NA,,0,,,,,,
2014-04-02,B,,Sagitta,CARE,1,NA,NA,,0,,,,,,
2014-04-16,B,,Sagitta,CARE,1,Clupeidae,Sardina pilchardus,,4,,,Lot of shrimps larvae,,,
2014-04-16,B,,Sagitta,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,Lot of shrimps larvae,,,
2014-04-16,B,,Sagitta,CARE,1,Sparidae,Boops boops,post-flexion,3,,,Lot of shrimps larvae,,,
2014-04-16,B*,,Sagitta,CARE,1,Clupeidae,Sardina pilchardus,,1,,,Lot of shrimps larvae,,,
2014-04-16,A,,Sagitta,CARE,1,Gadidae,NA,preflexion,1,,,Lot of shrimps larvae,,,
2014-04-16,A,,Sagitta,CARE,1,Clupeidae,Sardina pilchardus,,4,,,Lot of shrimps larvae,,,
2014-04-23,A,,Pelagia,CARE,1,Sparidae,Diplodus sargus,post-flexion,1,,,First day of swimming experiments !!!!,,,
2014-04-23,A,,Pelagia,CARE,1,Clupeidae,Sardina pilchardus,,1,,,,,,
2014-04-23,B*,,Pelagia,CARE,1,Blenniidae,Parablennius gattorugine,post-flexion,1,,,1 Sepiola spp,,,
2014-04-23,B*,,Pelagia,CARE,1,Sparidae,Boops boops,post-flexion,4,,,1 Sepiola spp,,,
2014-04-23,B,,Pelagia,CARE,1,Clupeidae,Sardina pilchardus,,39,,,,,,
2014-04-23,B,,Pelagia,CARE,1,Sparidae,Boops boops,post-flexion,7,,,,,,
2014-04-23,Dock,,Pelagia,Handnet,1,Atherinidae,Atherina hepsetus,,1,20140423_1,NA,lost or destroyed,,,
2014-04-23,Dock,,Pelagia,Handnet,1,Atherinidae,Atherina hepsetus,post-flexion,1,20140423_2,11.5,in formol,,,
2014-04-23,Dock,,Pelagia,Handnet,1,Atherinidae,Atherina hepsetus,post-flexion,1,20140423_3,11.1,in alcohol,,,
2014-04-23,Dock,,Pelagia,Handnet,1,Atherinidae,Atherina hepsetus,post-flexion,1,20140423_4,11.9,in formol,,,
2014-04-23,Dock,,Pelagia,Handnet,1,Atherinidae,Atherina hepsetus,post-flexion,1,20140423_5,NA,lost or destroyed,,,
2014-04-23,Dock,,Pelagia,Handnet,1,Atherinidae,Atherina hepsetus,post-flexion,1,20140423_6,10.6,in formol,,,
2014-04-24,A,,Pelagia,CARE,1,Sparidae,Boops boops,post-flexion,5,,,,,,
2014-04-24,B,,Pelagia,CARE,1,Clupeidae,Sardina pilchardus,,4,,,3 Scomber spp juveniles & 1 Loligo spp,,,
2014-04-24,B,,Pelagia,CARE,1,Sparidae,Boops boops,post-flexion,10,,,3 Scomber spp juveniles & 1 Loligo spp,,,
2014-04-24,B*,,Pelagia,CARE,1,Sparidae,Boops boops,post-flexion,2,,,,,,
2014-04-24,A,,Pelagia,CARE,1,Sparidae,Boops boops,post-flexion,1,20140424_1,9.3,in formol,,,
2014-04-24,Dock,,Pelagia,Handnet,1,Atherinidae,Atherina hepsetus,preflexion,1,20140424_2,9.8,in formol,,,
2014-04-24,Dock,,Pelagia,Handnet,1,Atherinidae,Atherina hepsetus,preflexion,1,20140424_3,7.5,in formol,,,
2014-04-24,Dock,,Pelagia,Handnet,1,Atherinidae,Atherina hepsetus,preflexion,1,20140424_4,10.3,in formol,,,
2014-04-24,B*,,Pelagia,CARE,1,Mugilidae,Liza sp2,post-flexion,1,20140424_5,28.9,"in formol. Mugil spp (~Liza spp) considered as larval stage until 3rd spine appears, between 35 and 45mm, so not a juvenile yet (ref : Delaware Bay report)",,,
2014-04-24,Dock,,Pelagia,Handnet,1,Atherinidae,Atherina hepsetus,flexion,1,20140424_6,9.1,in formol,,,
2014-04-25,B,,Pelagia,CARE,1,Sparidae,Boops boops,post-flexion,5,,,,,,
2014-04-25,C,,Pelagia,CARE,1,Sparidae,Boops boops,post-flexion,5,,,,,,
2014-04-25,C,,Pelagia,CARE,1,Sparidae,Diplodus sargus,post-flexion,1,,,,,,
2014-04-25,A,,Pelagia,CARE,1,NA,NA,,0,,,,,,
2014-04-25,B,,Pelagia,CARE,1,Sparidae,Boops boops,post-flexion,5,,,,,,
